paper_id,paper_title,norag_claims_extracted,norag_claims_validated,norag_claims_corrected,rag_claims_extracted,rag_claims_validated,rag_claims_corrected,llm_norag_hallucination_rate,llm_norag_grounding_score,llm_norag_claim_density,llm_norag_avg_confidence,llm_norag_supported,llm_norag_partially_supported,llm_norag_not_supported,llm_norag_contradicted,llm_rag_hallucination_rate,llm_rag_grounding_score,llm_rag_claim_density,llm_rag_avg_confidence,llm_rag_supported,llm_rag_partially_supported,llm_rag_not_supported,llm_rag_contradicted,llm_hallucination_delta,llm_grounding_delta,llm_claim_density_delta,llm_confidence_delta,nli_norag_hallucination_rate,nli_norag_grounding_score,nli_norag_claim_density,nli_norag_avg_confidence,nli_norag_supported,nli_norag_partially_supported,nli_norag_not_supported,nli_norag_contradicted,nli_rag_hallucination_rate,nli_rag_grounding_score,nli_rag_claim_density,nli_rag_avg_confidence,nli_rag_supported,nli_rag_partially_supported,nli_rag_not_supported,nli_rag_contradicted,nli_hallucination_delta,nli_grounding_delta,nli_claim_density_delta,nli_confidence_delta
090de4f4adedb8dee84b21ee18559103ae12290abc077f9955f3ff55b2d51b55f296973058b8ed1e28ee492f17c428a7867ab97da08ebf4840ea9f7f18545aec,Safety Arithmetic: A Framework for Test-time Safety Alignment of Language Models by Steering Parameters and Activations,29,29,0,38,38,5,0,0.966,0.0214,0.927,27,2,0,0,0.053,0.829,0.0282,0.902,27,9,2,0,0.053,-0.137,0.0068,-0.025,0.552,0.414,0.0214,0.922,11,2,5,11,0.553,0.447,0.0282,0.952,17,0,3,18,0.001,0.033,0.0068,0.03
097df36ed7122c4d448a484b718564288388d7a9a87927248349217ff14d5a1a5577608e410ff757ea9dcf860d3d3e8c23676521fd59fb16fe65e51d613a9b1e,Automatically Generated Definitions and their utility for Modeling Word Meaning,58,58,1,52,52,4,0.121,0.767,0.0522,0.899,38,13,3,4,0.077,0.808,0.037,0.899,36,12,0,4,-0.044,0.041,-0.0152,0,0.345,0.638,0.0522,0.913,36,2,4,16,0.327,0.663,0.037,0.909,34,1,1,16,-0.018,0.025,-0.0152,-0.004
09c6d37b4194c859fd6a5df06fe75c0939136f7b73dcc07c630f1db194086bc14d5eaf64b229fcbf94063a69195aa1272e02f09f7a17086885aeef7adb691049,PromptIntern: Saving Inference Costs by Internalizing Recurrent Prompt during Large Language Model Fine-tuning,39,39,0,31,31,0,0.205,0.744,0.0372,0.907,27,4,8,0,0.097,0.839,0.0285,0.925,24,4,3,0,-0.108,0.095,-0.0087,0.018,0.436,0.551,0.0372,0.911,21,1,13,4,0.29,0.677,0.0285,0.861,20,2,6,3,-0.146,0.126,-0.0087,-0.05
09debebb15f85fb6167b12c189371fb02fac5876d5bf322744301fe544557af58f6fa35477e8e06338b4da12a57c27d5259f3b4e12dc34de652cc19c71de4828,Synergizing In-context Learning with Hints for End-to-end Task-oriented Dialog Systems,53,53,1,38,38,1,0.019,0.934,0.0428,0.922,47,5,0,1,0.158,0.763,0.0311,0.913,26,6,2,4,0.139,-0.171,-0.0117,-0.009,0.472,0.509,0.0428,0.896,26,2,6,19,0.553,0.447,0.0311,0.937,17,0,2,19,0.081,-0.062,-0.0117,0.041
0aba7d4557dd89facad4de358a0b674deb754c2bdef57dc0b51a12e2ae820cad8062b351194cb251894fa1bf8158edb09d0858bd419429a89ddc1ee03b50149c,RoBERT2VecTM: A Novel Approach for Topic Extraction in Islamic Studies,42,42,5,49,49,2,0.143,0.81,0.0353,0.936,32,4,3,3,0.082,0.867,0.0346,0.924,40,5,2,2,-0.061,0.057,-0.0007,-0.012,0,0.905,0.0353,0.87,34,8,0,0,0.061,0.898,0.0346,0.901,42,4,0,3,0.061,-0.007,-0.0007,0.031
0ae82419f4ff415cebc7ad17c50f0b278e491994c67a401f1766f50795b1d4e2a210f32264d518278cffeb3264a32edaf4b03130f178a4dfac3d6bb17838ef28,MedCoT: Medical Chain of Thought via Hierarchical Expert,63,63,2,57,57,1,0.079,0.825,0.0491,0.917,46,12,4,1,0.298,0.623,0.0468,0.904,31,9,9,8,0.219,-0.202,-0.0023,-0.013,0.381,0.587,0.0491,0.859,35,4,10,14,0.421,0.561,0.0468,0.877,31,2,10,14,0.04,-0.026,-0.0023,0.018
0afae136d7f5f089c74a83ea4504516a528cea636806aa1402cb0656fc601d36fccfe6c3285200b197d44e8c820f98943160b4d5c81b27cdf358de590c2e8270,Factcheck-Bench: Fine-Grained Evaluation Benchmark for Automatic Fact-checkers,40,40,0,42,42,1,0.15,0.738,0.0349,0.902,25,9,2,4,0.071,0.821,0.0303,0.905,30,9,1,2,-0.079,0.083,-0.0046,0.003,0.6,0.313,0.0349,0.83,9,7,17,7,0.5,0.476,0.0303,0.902,19,2,10,11,-0.1,0.163,-0.0046,0.072
0b02bab1c77d9983e4c34f3748a6563aecd755ca7e2c3ced90ca2fd405d65c201d60f55d6d0a768c707328739fe6199484692a73573b8ed9f1efeea3d9b51997,Precision or Recall? An Analysis of Image Captions for Training Text-to-Image Generation Model,27,27,0,32,32,2,0.037,0.833,0.0249,0.915,19,7,0,1,0,0.953,0.0275,0.93,29,3,0,0,-0.037,0.12,0.0026,0.015,0.778,0.204,0.0249,0.946,5,1,0,21,0.719,0.219,0.0275,0.923,5,4,0,23,-0.059,0.015,0.0026,-0.023
0be34345b6f719aa9cc5e06b8d3e0af8018471e40b964622bd1d6cd21a393de3b5eca441a0a6557ed26f2e3b24f5e851ebbfff230eccac25894e8b23696e93bd,Strategic Demonstration Selection for Improved Fairness in LLM In-Context Learning,41,41,8,30,30,7,0.073,0.829,0.0353,0.907,30,8,2,1,0,0.883,0.0265,0.916,23,7,0,0,-0.073,0.054,-0.0088,0.009,0.463,0.439,0.0353,0.877,14,8,19,0,0.433,0.483,0.0265,0.923,12,5,12,1,-0.03,0.044,-0.0088,0.046
0bd437cbbc8da65cccb72d1a67ca9af8a0021526dae7fa172f88eeab758042cec68776c8b0bce59908e704e1003b1bb8f301544746fe2767d7f1c1199e3f47e3,Tokenization Falling Short: The Curse of Tokenization,47,47,0,27,27,0,0.043,0.809,0.0412,0.895,31,14,2,0,0.037,0.944,0.0219,0.947,25,1,1,0,-0.006,0.135,-0.0193,0.052,0.213,0.638,0.0412,0.741,23,14,4,6,0.296,0.611,0.0219,0.768,14,5,2,6,0.083,-0.027,-0.0193,0.027
0cac1d78d5a5b84ac32b1e18ea4f4411f9f4eac47752ab00c86dd02de9fcf05bfe5595aa1985b9f0a54608067e7643e7bb4da02ae1ce5f5dbeed4cc4571e8b33,SciDoc2Diagrammer-MAF: Towards Generation of Scientific Diagrams from Documents guided by Multi-Aspect Feedback Refinement,45,45,0,45,45,0,0.022,0.856,0.0408,0.905,33,11,1,0,0,0.867,0.0372,0.904,33,12,0,0,-0.022,0.011,-0.0036,-0.001,0.2,0.711,0.0408,0.746,28,8,6,3,0.2,0.756,0.0372,0.816,32,4,9,0,0,0.045,-0.0036,0.07
0da532127bdc684dec6ee03bfaffef4941ec47a879a0dd8894f119406e7b322ed87d844ee0cc169efa7edfb6d0aeaf0fd88b101bad6accef0fc560c600a7e0f0,Enhancing Post-Hoc Attributions in Long Document Comprehension via Coarse Grained Answer Decomposition,36,36,1,50,50,0,0.056,0.833,0.026,0.908,26,8,2,0,0.08,0.81,0.0377,0.916,35,11,2,2,0.024,-0.023,0.0117,0.008,0.111,0.889,0.026,0.928,32,0,1,3,0.1,0.81,0.0377,0.896,36,9,2,3,-0.011,-0.079,0.0117,-0.032
AGGREGATED,,2544,2544,134,2541,2541,155,0.066,0.847,0.036,0.915,1926,445,107,66,0.072,0.839,0.033,0.915,1889,458,107,87,0.006,-0.008,-0.0024,0,0.359,0.584,0.036,0.865,1339,289,452,464,0.349,0.592,0.033,0.863,1376,288,425,452,-0.01,0.008,-0.0024,-0.002
